==== HBASE-21507 ====
3	False	hbase-mapreduce/src/main/java/org/apache/hadoop/hbase/mapreduce/CellSerialization.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreScanner.java
==== HBASE-21620 ====
0	False	hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/model/TableInfoModel.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
2	False	hbase-common/src/main/java/org/apache/hadoop/hbase/KeyValueUtil.java
3	False	hbase-common/src/main/java/org/apache/hadoop/hbase/util/ClassSize.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/FixedFileTrailer.java
==== HBASE-21621 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
1	False	hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncRpcRetryingCaller.java
2	True	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreScanner.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/RpcServer.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileWriterImpl.java
==== HBASE-21626 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/ClusterStatusChore.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/AsyncFSWAL.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
4	False	hbase-mapreduce/src/main/java/org/apache/hadoop/hbase/mapred/TableInputFormatBase.java
==== HBASE-21629 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerManager.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/DrainingServerTracker.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
4	False	hbase-zookeeper/src/main/java/org/apache/hadoop/hbase/zookeeper/ZKWatcher.java
==== HBASE-21630 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/FixedFileTrailer.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java
==== HBASE-21639 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/wal/OutputSink.java
1	True	hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/ModifyNamespaceProcedure.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/ConstantSizeRegionSplitPolicy.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreScanner.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServerCommandLine.java
==== HBASE-21644 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/ReopenTableRegionsProcedure.java
1	False	hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncScanSingleRegionRpcRetryingCaller.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/executor/ExecutorService.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/io/util/MemorySizeUtil.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/Segment.java
==== HBASE-21657 ====
0	True	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreSizing.java
1	True	hbase-mapreduce/src/main/java/org/apache/hadoop/hbase/mapreduce/CellSerialization.java
2	True	hbase-common/src/main/java/org/apache/hadoop/hbase/ExtendedCell.java
3	False	hbase-common/src/main/java/org/apache/hadoop/hbase/io/encoding/BufferedDataBlockEncoder.java
4	False	hbase-common/src/main/java/org/apache/hadoop/hbase/IndividualBytesFieldCell.java
==== HBASE-21660 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/procedure/RegionServerProcedureManagerHost.java
1	True	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
2	False	hbase-client/src/main/java/org/apache/hadoop/hbase/security/NettyHBaseSaslRpcClientHandler.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/VisibilityController.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/coprocessor/RegionObserver.java
==== HBASE-21668 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/RpcServer.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
2	False	hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/impl/RestoreTablesClient.java
3	False	hbase-client/src/main/java/org/apache/hadoop/hbase/ipc/RpcClient.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
==== HBASE-21683 ====
0	True	hbase-server/src/main/java/org/apache/hadoop/hbase/security/visibility/VisibilityLabelServiceManager.java
1	False	hbase-client/src/main/java/org/apache/hadoop/hbase/ipc/NettyRpcConnection.java
2	False	hbase-mapreduce/src/main/java/org/apache/hadoop/hbase/mapreduce/TableInputFormatBase.java
3	False	hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/regionserver/wal/MetricsWALSource.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/replication/ReplicationEndpoint.java
==== HBASE-21688 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/normalizer/SplitNormalizationPlan.java
1	True	hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/FixedFileTrailer.java
2	False	bin/local-master-backup.sh
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/procedure/RegionServerProcedureManagerHost.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
==== HBASE-21707 ====
0	False	hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RootProcedureState.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/Segment.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/AssignmentManagerUtil.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
4	False	hbase-zookeeper/src/main/java/org/apache/hadoop/hbase/zookeeper/ZKAclReset.java
==== HBASE-21732 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/Store.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java
4	False	hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncRpcRetryingCaller.java
==== HBASE-21733 ====
0	True	hbase-server/src/main/java/org/apache/hadoop/hbase/HealthCheckChore.java
1	False	hbase-client/src/main/java/org/apache/hadoop/hbase/quotas/ThrottleType.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/QuotaLimiter.java
3	False	hbase-mapreduce/pom.xml
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/BloomFilterFactory.java
==== HBASE-21736 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerManager.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/io/util/MemorySizeUtil.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/FavoredStochasticBalancer.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotInfo.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/RegionRemoteProcedureBase.java
==== HBASE-21740 ====
0	True	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreFlusher.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/QuotaCache.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/LogRoller.java
==== HBASE-21746 ====
0	False	hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/client/Client.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerManager.java
2	False	hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/mapreduce/MapReduceBackupMergeJob.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/FixedFileTrailer.java
==== HBASE-21749 ====
0	True	hbase-mapreduce/src/main/java/org/apache/hadoop/hbase/mapreduce/TableInputFormatBase.java
1	False	hbase-http/src/main/java/org/apache/hadoop/hbase/util/JSONMetricUtil.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
4	False	hbase-common/src/main/java/org/apache/hadoop/hbase/util/UnsafeAvailChecker.java
==== HBASE-21751 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/security/token/TokenProvider.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/DeleteTableProcedure.java
3	False	hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/provider/consumer/ProtobufMessageBodyConsumer.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/RegionServerTracker.java
==== HBASE-21754 ====
0	True	hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterAnnotationReadingPriorityFunction.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
2	False	hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/mapreduce/MapReduceBackupMergeJob.java
3	True	hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/RecoverMetaProcedure.java
4	True	hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/SimpleRpcScheduler.java
==== HBASE-21765 ====
0	False	src/site/xdoc/bulk-loads.xml
1	False	hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/impl/IncrementalTableBackupClient.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/RSStatusServlet.java
3	False	hbase-balancer/src/main/java/org/apache/hadoop/hbase/master/balancer/ClusterLoadState.java
4	False	hbase-server/src/main/jamon/org/apache/hadoop/hbase/tmpl/common/TaskMonitorTmpl.jamon
==== HBASE-21773 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/DelimitedKeyPrefixRegionSplitPolicy.java
1	True	hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/NamespacesInstanceResource.java
2	False	hbase-client/src/main/java/org/apache/hadoop/hbase/security/NettyHBaseSaslRpcClientHandler.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/HealthChecker.java
4	False	hbase-mapreduce/src/main/java/org/apache/hadoop/hbase/mapred/IdentityTableMap.java
==== HBASE-21777 ====
0	True	hbase-mapreduce/src/main/java/org/apache/hadoop/hbase/mapreduce/MultiTableSnapshotInputFormatImpl.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/LogRoller.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/wal/RegionGroupingProvider.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
==== HBASE-21781 ====
0	False	hbase-shell/src/main/ruby/shell.rb
1	False	hbase-zookeeper/src/main/java/org/apache/hadoop/hbase/zookeeper/ZKNodeTracker.java
2	False	hbase-zookeeper/src/main/java/org/apache/hadoop/hbase/zookeeper/ZKAclReset.java
3	False	hbase-client/src/main/java/org/apache/hadoop/hbase/security/NettyHBaseSaslRpcClientHandler.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterServices.java
==== HBASE-21785 ====
0	False	hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/ScannerInstanceResource.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
2	False	hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsRegionWrapper.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsRegion.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreScanner.java
==== HBASE-21795 ====
0	False	hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncScanSingleRegionRpcRetryingCaller.java
1	False	hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RootProcedureState.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
3	False	hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/SequentialProcedure.java
4	False	hbase-rest/src/main/java/org/apache/hadoop/hbase/rest/ScannerResultGenerator.java
==== HBASE-21800 ====
0	True	hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsUserSource.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/RpcServer.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/CallRunner.java
3	False	hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncRpcRetryingCaller.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/procedure/RegionServerProcedureManagerHost.java
==== HBASE-21811 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotInfo.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/FavoredStochasticBalancer.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/RegionSplitter.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/ipc/RpcServer.java
4	True	hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/TransitRegionStateProcedure.java
==== HBASE-21840 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HStore.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/AbstractMultiOutputCompactor.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/compactions/ExploringCompactionPolicy.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/Store.java
==== HBASE-21843 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/ServerManager.java
1	False	hbase-examples/src/main/java/org/apache/hadoop/hbase/coprocessor/example/RefreshHFilesEndpoint.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/snapshot/SnapshotInfo.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/balancer/FavoredStochasticBalancer.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/OpenRegionProcedure.java
==== HBASE-21862 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/handler/UnassignRegionHandler.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/RegionSplitter.java
2	False	hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RootProcedureState.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/assignment/RegionRemoteProcedureBase.java
4	True	hbase-client/src/main/java/org/apache/hadoop/hbase/ipc/IPCUtil.java
==== HBASE-21866 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
1	False	hbase-backup/pom.xml
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
4	False	hbase-client/src/main/java/org/apache/hadoop/hbase/client/AsyncRpcRetryingCaller.java
==== HBASE-21889 ====
0	False	hbase-shell/src/main/ruby/shell/commands/splitormerge_enabled.rb
1	False	hbase-shell/src/main/ruby/shell/commands/splitormerge_switch.rb
2	False	hbase-shell/src/main/ruby/shell/commands/list_labels.rb
3	False	hbase-shell/src/main/ruby/shell/commands/list_peer_configs.rb
4	False	hbase-shell/src/main/ruby/shell/commands/get_peer_config.rb
==== HBASE-21890 ====
0	True	hbase-server/src/main/java/org/apache/hadoop/hbase/util/RegionSplitter.java
1	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
2	False	hbase-endpoint/src/main/java/org/apache/hadoop/hbase/coprocessor/AggregateImplementation.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegion.java
==== HBASE-21899 ====
0	True	hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/ReopenTableRegionsProcedure.java
1	True	hbase-server/src/main/java/org/apache/hadoop/hbase/replication/regionserver/SerialReplicationChecker.java
2	False	hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/impl/TableBackupClient.java
3	False	hbase-common/src/main/java/org/apache/hadoop/hbase/AuthUtil.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreFlusher.java
==== HBASE-21900 ====
0	False	hbase-common/src/main/java/org/apache/hadoop/hbase/util/ClassSize.java
1	False	hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsUserSourceImpl.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MetricsUserAggregateImpl.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/SecureAsyncProtobufLogWriter.java
4	False	hbase-common/src/main/java/org/apache/hadoop/hbase/util/RowColBloomHashKey.java
==== HBASE-21910 ====
0	False	hbase-procedure/src/main/java/org/apache/hadoop/hbase/procedure2/RootProcedureState.java
1	False	hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/impl/FullTableBackupClient.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/quotas/RegionServerSpaceQuotaManager.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java
4	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/HRegionServer.java
==== HBASE-21915 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/wal/AbstractFSWAL.java
1	False	hbase-common/src/main/java/org/apache/hadoop/hbase/util/ReflectionUtils.java
2	False	hbase-server/src/main/java/org/apache/hadoop/hbase/master/procedure/MasterDDLOperationHelper.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/StoreFileInfo.java
4	True	hbase-server/src/main/java/org/apache/hadoop/hbase/constraint/ConstraintProcessor.java
==== HBASE-21922 ====
0	False	hbase-server/src/main/java/org/apache/hadoop/hbase/util/RowBloomContext.java
1	False	hbase-backup/src/main/java/org/apache/hadoop/hbase/backup/impl/IncrementalTableBackupClient.java
2	False	hbase-common/src/main/java/org/apache/hadoop/hbase/KeyValueUtil.java
3	False	hbase-server/src/main/java/org/apache/hadoop/hbase/io/hfile/HFileWriterImpl.java
4	False	hbase-client/src/main/java/org/apache/hadoop/hbase/security/visibility/VisibilityConstants.java
==== HBASE-21928 ====
0	True	bin/region_mover.rb
1	False	hbase-hadoop-compat/src/main/java/org/apache/hadoop/hbase/ipc/MetricsHBaseServerSourceImpl.java
