==== HIVE-21344 ====
2	False	ql/src/java/org/apache/hadoop/hive/ql/plan/ExplainWork.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/MapOperator.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/io/AcidUtils.java
==== HIVE-21511 ====
0	False	metastore/scripts/upgrade/mssql/004-HIVE-8550.mssql.sql
1	False	beeline/src/java/org/apache/hive/beeline/Commands.java
2	False	jdbc/src/java/org/apache/hive/jdbc/HivePreparedStatement.java
3	False	metastore/scripts/upgrade/derby/hive-schema-1.1.0.derby.sql
4	False	ql/src/java/org/apache/hadoop/hive/ql/parse/BaseSemanticAnalyzer.java
==== HIVE-21518 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPEqual.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPNotEqualNS.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/NDV.java
3	False	contrib/src/java/org/apache/hadoop/hive/contrib/fileformat/base64/Base64TextInputFormat.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/udf/UDFOPBitXor.java
==== HIVE-21531 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/exec/ReduceSinkOperator.java
1	True	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/keyseries/VectorKeySeriesBytesSerialized.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/DecimalColumnInList.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MergeJoinWork.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFWeekOfYearString.java
==== HIVE-21538 ====
0	False	service-rpc/src/gen/thrift/gen-javabean/org/apache/hive/service/rpc/thrift/TByteColumn.java
1	False	service/src/java/org/apache/hive/service/server/HiveServer2.java
2	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
3	False	jdbc/src/java/org/apache/hive/jdbc/ZooKeeperHiveClientHelper.java
4	True	jdbc/src/java/org/apache/hive/jdbc/HttpBasicAuthInterceptor.java
==== HIVE-21539 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/processors/CommandProcessorFactory.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/plan/ExplainWork.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/io/InputFormatChecker.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/Context.java
==== HIVE-21540 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/metadata/Table.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/parse/QBMetaData.java
2	True	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/exec/ColumnStatsUpdateTask.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/parse/ExportSemanticAnalyzer.java
==== HIVE-21541 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/GenMapRedUtils.java
1	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/WriteEventInfo.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/hooks/NoOperatorReuseCheckerHook.java
3	False	streaming/src/java/org/apache/hive/streaming/PartitionInfo.java
4	False	metastore/src/java/org/apache/hadoop/hive/metastore/HiveClientCache.java
==== HIVE-21544 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
1	False	jdbc/src/java/org/apache/hive/jdbc/HiveStatement.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/rules/HiveRemoveGBYSemiJoinRule.java
3	False	service/src/java/org/apache/hive/service/cli/operation/SQLOperation.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java
==== HIVE-21550 ====
0	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/TableStatsRequest.java
1	False	service-rpc/src/gen/thrift/gen-javabean/org/apache/hive/service/rpc/thrift/TCloseSessionReq.java
2	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/PrivilegeBag.java
3	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/Schema.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFContextNGrams.java
==== HIVE-21553 ====
0	False	pom.xml
1	True	hbase-handler/src/java/org/apache/hadoop/hive/hbase/ResultWritable.java
2	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/utils/MetaStoreServerUtils.java
3	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/RetryingHMSHandler.java
4	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
==== HIVE-21557 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/stats/StatsUpdaterThread.java
1	True	ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Worker.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/events/DatabaseEvent.java
==== HIVE-21558 ====
0	False	shims/common/src/main/java/org/apache/hadoop/fs/ProxyLocalFileSystem.java
1	False	ql/src/java/org/apache/hadoop/hive/ql/io/ProxyLocalFileSystem.java
2	True	ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/txn/compactor/Worker.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/io/parquet/serde/ParquetHiveSerDe.java
==== HIVE-21561 ====
0	True	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/TableType.java
1	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
2	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/partition/spec/PartitionSpecWithSharedSDProxy.java
3	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/model/MStorageDescriptor.java
4	False	hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/listener/NotificationListener.java
==== HIVE-21564 ====
0	True	ql/src/java/org/apache/hadoop/hive/ql/exec/persistence/RowContainer.java
1	True	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/parse/UpdateDeleteSemanticAnalyzer.java
3	False	common/src/java/org/apache/hadoop/hive/ql/ErrorMsg.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/parse/ReplicationSpec.java
==== HIVE-21568 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/plan/MergeJoinWork.java
1	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/SubStructObjectInspector.java
2	False	ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/PlanModifierForASTConv.java
3	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/JavaStringObjectInspector.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/exec/AbstractMapJoinOperator.java
==== HIVE-21571 ====
0	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
1	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnHandler.java
2	False	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/StorageDescriptor.java
3	False	ql/src/java/org/apache/hadoop/hive/ql/io/orc/OrcInputFormat.java
4	False	ql/src/java/org/apache/hadoop/hive/ql/Driver.java
==== HIVE-21573 ====
0	True	service-rpc/src/gen/thrift/gen-javabean/org/apache/hive/service/rpc/thrift/TByteColumn.java
1	False	service/src/java/org/apache/hive/service/cli/session/HiveSessionImplwithUGI.java
2	False	beeline/src/main/resources/BeeLine.properties
3	False	beeline/src/java/org/apache/hive/beeline/BeeLine.java
4	False	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java
==== HIVE-21582 ====
0	False	serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/ObjectInspector.java
1	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/parser/ExpressionTree.java
2	True	standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/utils/StringUtils.java
3	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/PartitionManagementTask.java
4	False	common/src/java/org/apache/hadoop/hive/ql/parse/SemanticException.java
==== HIVE-21583 ====
0	False	ql/src/java/org/apache/hadoop/hive/ql/session/SessionState.java
1	False	common/src/java/org/apache/hadoop/hive/common/metrics/common/MetricsVariable.java
2	False	service/src/java/org/apache/hive/service/cli/session/SessionManager.java
3	False	service/src/java/org/apache/hive/service/auth/TSetIpAddressProcessor.java
4	False	service/src/java/org/apache/hive/service/cli/operation/OperationManager.java
==== HIVE-21586 ====
0	False	standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/CompactionInfo.java
1	True	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/AddPartitionsResult.java
2	True	standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/GetTablesRequest.java
