==== DERBY-6189 ====
2	False	java/org.apache.derby.engine/org/apache/derby/iapi/types/ClobStreamHeaderGenerator.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/types/StreamHeaderGenerator.java
4	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/BaseJoinStrategy.java
==== DERBY-6206 ====
0	False	java/org.apache.derby.tools/org/apache/derby/impl/tools/ij/ijResultImpl.java
1	False	java/org.apache.derby.client/org/apache/derby/client/am/Lob.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/BaseJoinStrategy.java
3	False	java/org.apache.derby.commons/org/apache/derby/shared/common/info/JVMInfo.java
4	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/dictionary/UserDescriptor.java
==== DERBY-6212 ====
0	False	java/org.apache.derby.engine/org/apache/derby/iapi/jdbc/EngineResultSet.java
1	False	java/org.apache.derby.engine/org/apache/derby/loc/messages.xml
2	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/EmbedResultSet.java
3	False	java/org.apache.derby.client/org/apache/derby/client/am/SqlException.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/TableName.java
==== DERBY-6216 ====
0	False	java/org.apache.derby.engine/org/apache/derby/iapi/types/SQLChar.java
1	False	java/org.apache.derby.engine/org/apache/derby/diag/TransactionTable.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/EmbedResultSet.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DDLStatementNode.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/services/monitor/BaseMonitor.java
==== DERBY-6221 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/FromSubquery.java
1	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DistinctNode.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/AllResultColumn.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/xact/RowLocking2nohold.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UnionNode.java
==== DERBY-6224 ====
0	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/BinaryComparisonOperatorNode.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/XATransactionState.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/services/monitor/FileMonitor.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/rts/RealHashScanStatistics.java
4	False	java/org.apache.derby.client/org/apache/derby/client/net/NetSqldta.java
==== DERBY-6227 ====
0	True	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/xact/BeginXact.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/EmbedPreparedStatement.java
2	False	java/org.apache.derby.engine/org/apache/derby/iapi/jdbc/EngineResultSet.java
3	False	java/org.apache.derby.client/org/apache/derby/client/net/NetPackageRequest.java
4	False	java/org.apache.derby.client/org/apache/derby/client/am/CrossConverters.java
==== DERBY-6228 ====
0	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/SavepointNode.java
1	False	java/org.apache.derby.engine/org/apache/derby/iapi/store/access/AccessFactory.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/MaxMinAggregator.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/types/SQLChar.java
4	False	java/org.apache.derby.client/org/apache/derby/client/am/SqlException.java
==== DERBY-6268 ====
0	False	java/org.apache.derby.server/org/apache/derby/impl/drda/DRDAConnThread.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/services/daemon/IndexStatisticsDaemonImpl.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DDLStatementNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/authentication/AuthenticationServiceBase.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/EmbedPreparedStatement.java
==== DERBY-6269 ====
0	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/CreateIndexConstantAction.java
1	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/dictionary/ConglomerateDescriptor.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DDLStatementNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/dictionary/ColumnDescriptor.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/TableElementList.java
==== DERBY-6273 ====
0	True	java/org.apache.derby.engine/org/apache/derby/iapi/sql/ResultDescription.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/SelectNode.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/authentication/AuthenticationServiceBase.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/rts/RealJoinResultSetStatistics.java
==== DERBY-6283 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DDLStatementNode.java
1	True	java/org.apache.derby.engine/org/apache/derby/impl/services/daemon/IndexStatisticsDaemonImpl.java
2	False	java/org.apache.derby.server/org/apache/derby/impl/drda/EXTDTAInputStream.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/GenericQualifier.java
4	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/dictionary/ConglomerateDescriptor.java
==== DERBY-6297 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/services/jmxnone/NoManagementService.java
1	True	java/org.apache.derby.tools/org/apache/derby/impl/tools/planexporter/CreateXMLFile.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/CreateTriggerNode.java
3	False	java/org.apache.derby.client/org/apache/derby/client/net/StatementReply.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/services/monitor/BaseMonitor.java
==== DERBY-6314 ====
0	True	java/org.apache.derby.engine/org/apache/derby/diag/StatementDuration.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/AggregatorInfo.java
2	False	java/org.apache.derby.engine/org/apache/derby/diag/TransactionTable.java
3	True	java/org.apache.derby.engine/org/apache/derby/iapi/sql/dictionary/SystemColumn.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/BaseJoinStrategy.java
==== DERBY-6317 ====
0	True	java/org.apache.derby.engine/org/apache/derby/iapi/services/classfile/ConstantPoolEntry.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ProjectRestrictNode.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UnionNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/CompressSpacePageOperation.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/CreateIndexConstantAction.java
==== DERBY-6323 ====
0	False	java/org.apache.derby.engine/org/apache/derby/iapi/jdbc/EngineResultSet.java
1	False	java/org.apache.derby.client/org/apache/derby/client/am/ClientDatabaseMetaData.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/DeleteVTIResultSet.java
3	True	java/org.apache.derby.server/org/apache/derby/impl/drda/DRDAConnThread.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/EmbedPreparedStatement.java
==== DERBY-6324 ====
0	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/conn/GenericLanguageConnectionContext.java
1	True	java/org.apache.derby.client/org/apache/derby/client/am/SectionManager.java
2	False	tools/ant/properties/dirs.properties
3	False	java/org.apache.derby.server/org/apache/derby/impl/drda/XADatabase.java
4	False	java/org.apache.derby.engine/org/apache/derby/loc/messages_pt_BR.properties
==== DERBY-6346 ====
0	False	java/org.apache.derby.client/org/apache/derby/client/net/NetConfiguration.java
1	False	java/org.apache.derby.server/org/apache/derby/impl/drda/XADatabase.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/DeleteVTIResultSet.java
3	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/EmbedPreparedStatement.java
==== DERBY-6348 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/services/daemon/IndexStatisticsDaemonImpl.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/SelectNode.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UnionNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/CursorTableReference.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/xact/RowLocking2nohold.java
==== DERBY-6351 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UpdateNode.java
2	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/dictionary/FileInfoDescriptor.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/D_StoredPage.java
4	False	java/org.apache.derby.tools/org/apache/derby/impl/tools/ij/Main.java
==== DERBY-6352 ====
0	False	java/org.apache.derby.engine/org/apache/derby/iapi/services/loader/ClassFactoryContext.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/XATransactionState.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/BinaryComparisonOperatorNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/rts/RealHashScanStatistics.java
4	True	java/org.apache.derby.engine/org/apache/derby/impl/db/DatabaseContextImpl.java
==== DERBY-6354 ====
0	False	java/org.apache.derby.client/org/apache/derby/client/net/ClientJDBCObjectFactoryImpl.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/store/access/btree/index/B2I.java
2	False	java/demo/toursdb/loadFLIGHTAVAILABILITY2.sql
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DeleteNode.java
4	False	java/org.apache.derby.tools/org/apache/derby/iapi/tools/i18n/LocalizedResource.java
==== DERBY-6357 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/D_StoredPage.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/OrderByList.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/types/SQLBinary.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumn.java
==== DERBY-6361 ====
0	False	java/org.apache.derby.client/org/apache/derby/client/net/StatementReply.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DistinctNode.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/ReclaimSpaceHelper.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/authentication/AuthenticationServiceBase.java
4	False	java/org.apache.derby.engine/org/apache/derby/diag/TransactionTable.java
==== DERBY-6362 ====
0	True	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/D_StoredPage.java
1	False	java/org.apache.derby.client/org/apache/derby/client/net/StatementReply.java
2	True	java/org.apache.derby.engine/org/apache/derby/diag/TransactionTable.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/ReclaimSpaceHelper.java
4	False	java/org.apache.derby.engine/org/apache/derby/iapi/jdbc/EngineResultSet.java
==== DERBY-6363 ====
0	False	java/org.apache.derby.engine/org/apache/derby/iapi/store/access/conglomerate/ConglomerateFactory.java
1	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/execute/RunTimeStatistics.java
2	False	java/org.apache.derby.engine/org/apache/derby/loc/messages.xml
3	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/EmbedResultSet.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/catalog/SYSSCHEMASRowFactory.java
==== DERBY-6370 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/D_StoredPage.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/OrderByList.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UpdateNode.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UnionNode.java
==== DERBY-6371 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/MergeNode.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/D_StoredPage.java
3	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DDLStatementNode.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/OrderByList.java
==== DERBY-6373 ====
0	True	java/org.apache.derby.client/org/apache/derby/client/am/Configuration.java
1	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/execute/RowChanger.java
2	False	java/org.apache.derby.engine/org/apache/derby/loc/messages_pt_BR.properties
3	False	java/org.apache.derby.tools/org/apache/derby/impl/tools/ij/ijResult.java
4	False	java/org.apache.derby.client/org/apache/derby/client/am/ClientBlob.java
==== DERBY-6378 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/OrderByList.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
2	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UnionNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/D_StoredPage.java
4	False	java/org.apache.derby.tools/org/apache/derby/impl/tools/ij/ijVectorResult.java
==== DERBY-6383 ====
0	False	java/org.apache.derby.engine/org/apache/derby/iapi/services/io/LimitInputStream.java
1	False	java/org.apache.derby.engine/org/apache/derby/iapi/store/access/TransactionInfo.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/StaticMethodCallNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/compile/OptimizerFactory.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UpdateNode.java
==== DERBY-6386 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/LOBStreamControl.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/LOBInputStream.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/LOBOutputStream.java
3	False	java/org.apache.derby.client/org/apache/derby/client/am/ByteArrayCombinerStream.java
4	False	java/org.apache.derby.client/org/apache/derby/client/am/ClobLocatorWriter.java
==== DERBY-6387 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/TableName.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UnionNode.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ProjectRestrictNode.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/store/access/CacheableConglomerate.java
==== DERBY-6396 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ReplaceAggregatesWithCRVisitor.java
1	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/IndexColumnOrder.java
2	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/compile/TypeCompiler.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/EmbedPreparedStatement.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/EmbedResultSet.java
==== DERBY-6408 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UnionNode.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumn.java
2	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/RowResultSetNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/OrderByList.java
==== DERBY-6411 ====
0	False	java/org.apache.derby.client/org/apache/derby/client/net/ResultSetRequestInterface.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/log/D_LogToFile.java
2	True	java/org.apache.derby.engine/org/apache/derby/impl/store/access/CacheableConglomerate.java
3	False	java/org.apache.derby.engine/org/apache/derby/diag/TransactionTable.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/RowResultSetNode.java
==== DERBY-6414 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/DeleteVTIResultSet.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/FromTable.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/AllResultColumn.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UpdateNode.java
==== DERBY-6429 ====
0	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/AllResultColumn.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
2	False	java/org.apache.derby.engine/org/apache/derby/loc/messages_pt_BR.properties
3	True	java/org.apache.derby.engine/org/apache/derby/iapi/services/monitor/ModuleControl.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/store/access/CacheableConglomerate.java
==== DERBY-6433 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/StaticMethodCallNode.java
1	False	java/org.apache.derby.engine/org/apache/derby/iapi/services/context/Context.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/AllResultColumn.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DistinctNode.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UpdateNode.java
==== DERBY-6434 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DistinctNode.java
1	True	java/org.apache.derby.engine/org/apache/derby/iapi/services/context/Context.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UpdateNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/StaticMethodCallNode.java
4	True	java/org.apache.derby.engine/org/apache/derby/impl/sql/catalog/SYSCOLUMNSRowFactory.java
==== DERBY-6440 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DistinctNode.java
1	True	java/org.apache.derby.engine/org/apache/derby/vti/ForeignTableVTI.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DDLStatementNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/XATransactionState.java
4	False	java/org.apache.derby.engine/org/apache/derby/iapi/store/access/TransactionInfo.java
==== DERBY-6443 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UpdateNode.java
1	False	java/org.apache.derby.engine/org/apache/derby/iapi/services/compiler/LocalField.java
2	False	java/org.apache.derby.engine/org/apache/derby/diag/TransactionTable.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/store/access/TransactionInfo.java
4	False	java/org.apache.derby.engine/org/apache/derby/iapi/jdbc/EngineResultSet.java
==== DERBY-6455 ====
0	True	java/org.apache.derby.server/org/apache/derby/impl/drda/NetworkServerControlImpl.java
1	False	java/org.apache.derby.engine/org/apache/derby/iapi/jdbc/EngineResultSet.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/BaseDataFileFactory.java
3	False	java/org.apache.derby.engine/org/apache/derby/diag/TransactionTable.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/store/access/btree/index/B2IRowLocking1.java
==== DERBY-6456 ====
0	True	java/org.apache.derby.server/org/apache/derby/impl/drda/NetworkServerControlImpl.java
1	False	java/org.apache.derby.engine/org/apache/derby/iapi/jdbc/EngineResultSet.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/xact/RowLocking3.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/compile/C_NodeTypes.java
4	False	java/org.apache.derby.engine/org/apache/derby/diag/TransactionTable.java
==== DERBY-6457 ====
0	True	java/org.apache.derby.server/org/apache/derby/impl/drda/NetworkServerControlImpl.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/SetSchemaNode.java
2	False	bin/templates/NetworkServerControl
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/jdbc/EngineResultSet.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/LongColumnException.java
==== DERBY-6463 ====
0	True	bin/setNetworkServerCP
1	False	java/demo/scores/customizeMe.properties
2	True	java/demo/demo.html
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/LOBTypeCompiler.java
4	True	java/demo/navbar.html
==== DERBY-6477 ====
0	False	java/org.apache.derby.engine/org/apache/derby/catalog/SystemProcedures.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DistinctNode.java
2	False	java/org.apache.derby.engine/org/apache/derby/iapi/services/diag/Diagnosticable.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/authentication/AuthenticationServiceBase.java
4	False	java/org.apache.derby.server/org/apache/derby/impl/drda/XADatabase.java
==== DERBY-6496 ====
0	True	java/org.apache.derby.engine/org/apache/derby/catalog/Java5SystemProcedures.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/services/stream/BasicHeaderPrintWriter.java
2	False	plugins/eclipse/org.apache.derby.ui/src/org/apache/derby/ui/launch/StopDerbyServerLaunchConfigurationDelegate.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/store/access/TransactionInfo.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/ByteHolder.java
==== DERBY-6503 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/SetSchemaNode.java
1	False	java/org.apache.derby.server/org/apache/derby/impl/drda/NetworkServerControlImpl.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/rts/RealBasicNoPutResultSetStatistics.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/XATransactionState.java
4	False	bin/templates/NetworkServerControl
==== DERBY-6504 ====
0	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/compile/TypeCompiler.java
1	True	java/org.apache.derby.engine/org/apache/derby/iapi/store/access/GroupFetchScanController.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/log/ReadOnly.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/RAFContainer4.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
==== DERBY-6511 ====
0	True	java/org.apache.derby.client/org/apache/derby/client/net/NetPackageRequest.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/EmbedResultSet.java
2	False	java/org.apache.derby.server/org/apache/derby/loc/drda/servlet_zh_CN.properties
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/TimeTypeCompiler.java
4	False	java/org.apache.derby.engine/org/apache/derby/iapi/services/io/FormatableLongHolder.java
==== DERBY-6515 ====
0	False	java/org.apache.derby.engine/org/apache/derby/iapi/types/SQLChar.java
1	False	java/org.apache.derby.server/org/apache/derby/impl/drda/Database.java
2	False	java/org.apache.derby.engine/org/apache/derby/loc/messages_pt_BR.properties
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/jdbc/EngineStatement.java
4	False	java/org.apache.derby.client/org/apache/derby/client/ClientPooledConnection.java
==== DERBY-6518 ====
0	False	java/org.apache.derby.engine/org/apache/derby/diag/TransactionTable.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/authentication/AuthenticationServiceBase.java
2	True	java/org.apache.derby.engine/org/apache/derby/iapi/services/property/PersistentSet.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/sql/compile/OptimizerFactory.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/jdbc/EmbedPreparedStatement.java
==== DERBY-6532 ====
0	True	java/org.apache.derby.tools/org/apache/derby/impl/tools/ij/xaHelper.java
1	False	java/org.apache.derby.tools/build.xml
2	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/xact/Xact.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/BaseDataFileFactory.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/log/CheckpointOperation.java
==== DERBY-6540 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/store/raw/data/D_StoredPage.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DistinctNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/MergeNode.java
4	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UpdateNode.java
==== DERBY-6543 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/CreateTriggerNode.java
1	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/UpdateNode.java
2	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/DDLStatementNode.java
3	False	java/org.apache.derby.engine/org/apache/derby/iapi/store/access/TransactionInfo.java
4	False	java/org.apache.derby.engine/org/apache/derby/loc/messages.xml
==== DERBY-6545 ====
0	False	java/org.apache.derby.engine/org/apache/derby/impl/sql/compile/ResultColumnList.java
