==== CALCITE-3807 ====
1	True	core/src/main/java/org/apache/calcite/plan/RelOptRule.java
2	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableJoinRule.java
3	False	core/src/main/java/org/apache/calcite/rel/core/Union.java
4	False	core/src/main/java/org/apache/calcite/rel/stream/Delta.java
==== CALCITE-3924 ====
0	True	core/src/main/java/org/apache/calcite/rel/type/RelDataTypePrecedenceList.java
1	False	core/src/main/java/org/apache/calcite/sql/type/SqlTypeName.java
2	False	core/src/main/java/org/apache/calcite/sql/type/ReturnTypes.java
3	False	core/src/main/java/org/apache/calcite/sql/fun/SqlExtractFunction.java
4	False	core/src/main/java/org/apache/calcite/runtime/Utilities.java
==== CALCITE-3926 ====
0	False	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
1	False	core/src/main/java/org/apache/calcite/tools/Program.java
2	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSortRule.java
3	True	core/src/main/java/org/apache/calcite/rel/logical/LogicalProject.java
4	True	core/src/main/java/org/apache/calcite/rel/rules/SortUnionTransposeRule.java
==== CALCITE-3927 ====
0	False	core/src/main/java/org/apache/calcite/schema/Statistics.java
1	False	splunk/src/main/java/org/apache/calcite/adapter/splunk/search/SplunkConnectionImpl.java
2	True	core/src/main/java/org/apache/calcite/plan/ConventionTraitDef.java
3	False	core/src/main/java/org/apache/calcite/schema/Path.java
4	False	core/src/main/java/org/apache/calcite/rel/metadata/RelMdUtil.java
==== CALCITE-3928 ====
0	False	core/src/main/java/org/apache/calcite/rel/externalize/RelWriterImpl.java
1	False	core/src/main/java/org/apache/calcite/adapter/enumerable/impl/AggAddContextImpl.java
2	False	core/src/main/java/org/apache/calcite/rel/metadata/UnboundMetadata.java
3	False	core/src/main/java/org/apache/calcite/rel/RelNode.java
4	False	core/src/main/java/org/apache/calcite/plan/hep/HepRuleCall.java
==== CALCITE-3929 ====
0	False	core/src/main/java/org/apache/calcite/sql/fun/SqlAvgAggFunction.java
1	False	core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java
2	False	core/src/main/java/org/apache/calcite/plan/volcano/VolcanoRuleMatch.java
3	False	core/src/main/java/org/apache/calcite/sql/type/OperandTypes.java
4	False	core/src/main/java/org/apache/calcite/rel/core/Match.java
==== CALCITE-3936 ====
0	False	core/src/main/java/org/apache/calcite/prepare/CalciteSqlValidator.java
1	True	core/src/main/java/org/apache/calcite/rel/rel2sql/SqlImplementor.java
2	True	core/src/main/java/org/apache/calcite/rel/rel2sql/package-info.java
3	False	core/src/main/java/org/apache/calcite/sql/validate/SqlDelegatingConformance.java
4	False	core/src/main/java/org/apache/calcite/config/NullCollation.java
==== CALCITE-3949 ====
0	False	core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java
1	False	core/src/main/java/org/apache/calcite/rex/RexUtil.java
2	False	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
3	False	druid/src/main/java/org/apache/calcite/adapter/druid/DruidTableFactory.java
4	False	core/src/main/java/org/apache/calcite/materialize/MaterializationActor.java
==== CALCITE-3950 ====
0	False	core/src/main/java/org/apache/calcite/plan/RexImplicationChecker.java
1	False	core/src/main/java/org/apache/calcite/rel/rel2sql/SqlImplementor.java
2	False	core/src/main/java/org/apache/calcite/rel/rel2sql/package-info.java
3	False	core/src/main/java/org/apache/calcite/rex/RexBuilder.java
4	False	core/src/main/java/org/apache/calcite/sql/SqlWriter.java
==== CALCITE-3957 ====
0	False	core/src/main/java/org/apache/calcite/sql/fun/SqlAbstractGroupFunction.java
1	True	core/src/main/java/org/apache/calcite/rel/rules/AggregateMergeRule.java
2	False	core/src/main/java/org/apache/calcite/util/Util.java
3	False	core/src/main/java/org/apache/calcite/sql/validate/AggFinder.java
4	False	core/src/main/java/org/apache/calcite/rel/rules/AggregateValuesRule.java
==== CALCITE-3961 ====
0	True	splunk/src/main/java/org/apache/calcite/adapter/splunk/search/SplunkConnectionImpl.java
1	False	core/src/main/java/org/apache/calcite/schema/Statistics.java
2	True	core/src/main/java/org/apache/calcite/plan/ConventionTraitDef.java
3	True	druid/src/main/java/org/apache/calcite/adapter/druid/DruidQuery.java
4	False	core/src/main/java/org/apache/calcite/rel/metadata/ReflectiveRelMetadataProvider.java
==== CALCITE-3969 ====
0	True	core/src/main/java/org/apache/calcite/rel/RelCollationImpl.java
1	False	core/src/main/java/org/apache/calcite/rel/RelCollations.java
2	True	core/src/main/java/org/apache/calcite/rex/RexUtil.java
3	True	linq4j/src/main/java/org/apache/calcite/linq4j/tree/TryStatement.java
4	False	core/src/main/java/org/apache/calcite/rel/core/Join.java
==== CALCITE-3972 ====
0	False	core/src/main/java/org/apache/calcite/adapter/enumerable/impl/WinAggResultContextImpl.java
1	True	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
2	False	core/src/main/java/org/apache/calcite/rel/RelCollationTraitDef.java
3	False	core/src/main/java/org/apache/calcite/adapter/enumerable/AggImplementor.java
4	False	core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java
==== CALCITE-3973 ====
0	True	core/src/main/java/org/apache/calcite/sql/SqlDialect.java
1	False	core/src/main/java/org/apache/calcite/sql/dialect/Db2SqlDialect.java
2	False	core/src/main/java/org/apache/calcite/util/mapping/IntPair.java
3	False	core/src/main/java/org/apache/calcite/sql/SqlWriter.java
4	False	core/src/main/java/org/apache/calcite/adapter/jdbc/JdbcRules.java
==== CALCITE-3975 ====
0	True	core/src/main/java/org/apache/calcite/rel/rules/ProjectSetOpTransposeRule.java
1	False	core/src/main/java/org/apache/calcite/rel/externalize/RelWriterImpl.java
2	False	core/src/main/java/org/apache/calcite/plan/RelOptPlanner.java
3	False	core/src/main/java/org/apache/calcite/rel/metadata/UnboundMetadata.java
4	False	splunk/src/main/java/org/apache/calcite/adapter/splunk/SplunkSchema.java
==== CALCITE-3979 ====
0	True	core/src/main/java/org/apache/calcite/rel/metadata/RelMdPredicates.java
1	False	core/src/main/java/org/apache/calcite/sql/advise/SqlAdvisor.java
2	False	core/src/main/java/org/apache/calcite/rex/RexBuilder.java
3	False	core/src/main/java/org/apache/calcite/rel/rules/FilterAggregateTransposeRule.java
4	False	core/src/main/java/org/apache/calcite/rex/RexSimplify.java
==== CALCITE-3981 ====
0	False	core/src/main/java/org/apache/calcite/sql/validate/AggregatingSelectScope.java
1	False	core/src/main/java/org/apache/calcite/rel/core/Filter.java
2	False	core/src/main/java/org/apache/calcite/schema/Statistics.java
3	False	core/src/main/java/org/apache/calcite/plan/ConventionTraitDef.java
4	True	splunk/src/main/java/org/apache/calcite/adapter/splunk/search/SplunkConnectionImpl.java
==== CALCITE-3982 ====
0	False	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
1	False	core/src/main/java/org/apache/calcite/rel/logical/LogicalCorrelate.java
2	True	core/src/main/java/org/apache/calcite/sql/type/OrdinalReturnTypeInference.java
3	False	core/src/main/java/org/apache/calcite/adapter/enumerable/impl/WinAggResultContextImpl.java
4	False	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
==== CALCITE-3991 ====
0	True	core/src/main/java/org/apache/calcite/plan/ConventionTraitDef.java
1	True	core/src/main/java/org/apache/calcite/schema/Statistics.java
2	False	core/src/main/java/org/apache/calcite/rex/RexLiteral.java
3	False	core/src/main/java/org/apache/calcite/sql/validate/AggregatingSelectScope.java
4	False	core/src/main/java/org/apache/calcite/rel/metadata/DefaultRelMetadataProvider.java
==== CALCITE-3997 ====
0	False	core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java
1	False	core/src/main/java/org/apache/calcite/adapter/enumerable/impl/WinAggResultContextImpl.java
2	False	core/src/main/java/org/apache/calcite/interpreter/SortNode.java
3	False	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
4	False	core/src/main/java/org/apache/calcite/adapter/clone/CloneSchema.java
==== CALCITE-4019 ====
0	True	core/src/main/java/org/apache/calcite/schema/CustomColumnResolvingTable.java
1	False	core/src/main/java/org/apache/calcite/sql/SqlDynamicParam.java
2	False	core/src/main/java/org/apache/calcite/sql/advise/SqlAdvisorHint.java
3	True	core/src/main/java/org/apache/calcite/jdbc/JavaRecordType.java
4	False	core/src/main/java/org/apache/calcite/sql/SqlIdentifier.java
==== CALCITE-4026 ====
0	False	core/src/main/java/org/apache/calcite/jdbc/CalciteMetaImpl.java
1	False	cassandra/src/main/java/org/apache/calcite/adapter/cassandra/CassandraMethod.java
2	False	core/src/main/java/org/apache/calcite/sql/validate/SqlMonikerType.java
3	False	core/src/main/java/org/apache/calcite/jdbc/CalciteResultSet.java
4	False	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
==== CALCITE-4033 ====
0	False	core/src/main/java/org/apache/calcite/sql/SqlSelect.java
1	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableUncollect.java
2	False	core/src/main/java/org/apache/calcite/sql/validate/SelectScope.java
3	False	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
4	False	core/src/main/java/org/apache/calcite/sql/SqlWriter.java
==== CALCITE-4038 ====
0	True	core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java
1	True	core/src/main/java/org/apache/calcite/sql/fun/SqlArgumentAssignmentOperator.java
2	True	core/src/main/java/org/apache/calcite/rel/logical/LogicalMatch.java
3	True	core/src/main/java/org/apache/calcite/rex/RexPatternFieldRef.java
4	True	core/src/main/java/org/apache/calcite/rex/RexUnaryBiVisitor.java
==== CALCITE-4042 ====
0	True	core/src/main/java/org/apache/calcite/util/ReflectUtil.java
1	False	druid/src/main/java/org/apache/calcite/adapter/druid/DruidQuery.java
2	False	splunk/src/main/java/org/apache/calcite/adapter/splunk/search/SplunkConnectionImpl.java
3	False	core/src/main/java/org/apache/calcite/schema/FunctionParameter.java
4	False	core/src/main/java/org/apache/calcite/plan/Strong.java
==== CALCITE-4053 ====
0	True	core/src/main/java/org/apache/calcite/rex/RexSimplify.java
1	False	splunk/src/main/java/org/apache/calcite/adapter/splunk/SplunkSchema.java
2	False	core/src/main/java/org/apache/calcite/tools/Frameworks.java
3	False	core/src/main/java/org/apache/calcite/rel/metadata/RelMdPredicates.java
4	False	core/src/main/java/org/apache/calcite/rex/RexExecutor.java
==== CALCITE-4055 ====
0	True	core/src/main/java/org/apache/calcite/sql/validate/IdentifierNamespace.java
1	True	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
2	False	core/src/main/java/org/apache/calcite/rel/externalize/RelWriterImpl.java
3	False	core/gradle.properties
4	False	core/src/main/java/org/apache/calcite/materialize/TileSuggester.java
==== CALCITE-4059 ====
0	True	core/src/main/java/org/apache/calcite/runtime/Utilities.java
1	False	core/src/main/java/org/apache/calcite/sql2rel/RelStructuredTypeFlattener.java
2	False	core/src/main/java/org/apache/calcite/sql/fun/SqlLikeOperator.java
3	False	core/src/main/java/org/apache/calcite/sql/validate/SelectScope.java
4	False	core/src/main/java/org/apache/calcite/rel/type/RelDataTypeFactoryImpl.java
==== CALCITE-4060 ====
0	True	core/src/main/java/org/apache/calcite/sql/type/ComparableOperandTypeChecker.java
1	False	core/src/main/java/org/apache/calcite/sql/validate/implicit/AbstractTypeCoercion.java
2	False	core/src/main/java/org/apache/calcite/sql/validate/implicit/package-info.java
3	False	core/src/main/java/org/apache/calcite/runtime/Utilities.java
4	False	core/src/main/java/org/apache/calcite/sql/validate/SelectScope.java
==== CALCITE-4061 ====
0	False	core/src/main/java/org/apache/calcite/sql/SqlFunction.java
1	False	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
2	False	core/src/main/java/org/apache/calcite/util/BuiltInMethod.java
3	False	core/src/main/java/org/apache/calcite/config/CalciteConnectionProperty.java
4	False	core/src/main/java/org/apache/calcite/rex/RexCall.java
==== CALCITE-4063 ====
0	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumUtils.java
1	True	core/src/main/java/org/apache/calcite/prepare/CalciteCatalogReader.java
2	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableModify.java
3	False	core/src/main/java/org/apache/calcite/sql/SqlSelect.java
4	False	core/src/main/java/org/apache/calcite/rel/rules/SortJoinCopyRule.java
==== CALCITE-4066 ====
0	False	core/src/main/java/org/apache/calcite/prepare/CalcitePrepareImpl.java
1	False	core/src/main/java/org/apache/calcite/sql/util/package-info.java
2	False	linq4j/build.gradle.kts
3	False	core/src/main/java/org/apache/calcite/materialize/package-info.java
4	False	example/csv/build.gradle.kts
==== CALCITE-4073 ====
0	False	core/src/main/java/org/apache/calcite/util/BuiltInMethod.java
1	False	core/src/main/java/org/apache/calcite/jdbc/CalciteConnectionImpl.java
2	False	core/src/main/java/org/apache/calcite/sql/validate/SqlValidatorImpl.java
3	False	druid/src/main/java/org/apache/calcite/adapter/druid/DruidTableFactory.java
4	False	core/src/main/java/org/apache/calcite/jdbc/CalciteMetaImpl.java
==== CALCITE-4077 ====
0	False	core/src/main/java/org/apache/calcite/sql/SqlWindow.java
1	False	core/src/main/java/org/apache/calcite/config/CalciteConnectionProperty.java
2	True	core/src/main/java/org/apache/calcite/sql/validate/SelectScope.java
3	True	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
4	False	core/src/main/java/org/apache/calcite/sql/SqlDynamicParam.java
==== CALCITE-4080 ====
0	False	core/src/main/java/org/apache/calcite/sql/parser/SqlParser.java
1	True	core/src/main/java/org/apache/calcite/sql/validate/SqlDelegatingConformance.java
2	False	core/src/main/java/org/apache/calcite/sql/validate/SqlIdentifierMoniker.java
3	False	core/src/main/java/org/apache/calcite/sql/fun/SqlAvgAggFunction.java
4	False	core/src/main/java/org/apache/calcite/sql/fun/SqlLibraryOperators.java
==== CALCITE-4081 ====
0	False	core/src/main/java/org/apache/calcite/rel/rel2sql/package-info.java
1	False	core/src/main/java/org/apache/calcite/util/NlsString.java
2	False	core/src/main/java/org/apache/calcite/sql/validate/SelectScope.java
3	False	core/src/main/java/org/apache/calcite/rel/RelNode.java
4	False	core/src/main/java/org/apache/calcite/rel/rel2sql/SqlImplementor.java
==== CALCITE-4083 ====
0	True	core/src/main/java/org/apache/calcite/adapter/clone/CloneSchema.java
1	False	core/src/main/java/org/apache/calcite/adapter/enumerable/EnumUtils.java
2	False	core/src/main/java/org/apache/calcite/plan/RelOptPredicateList.java
3	False	core/src/main/java/org/apache/calcite/tools/RelBuilder.java
4	False	core/src/main/java/org/apache/calcite/sql2rel/SqlToRelConverter.java
==== CALCITE-4089 ====
0	False	core/src/main/java/org/apache/calcite/config/CalciteConnectionProperty.java
1	False	core/src/main/java/org/apache/calcite/config/NullCollation.java
2	False	core/src/main/java/org/apache/calcite/sql/SqlWriter.java
